ип,платформа,период,дата,неделя,выручка_с_продвижением,шт_заказы,шт_продажи,шт_возвраты,заказы_руб,возвраты_руб,нетто_руб,себестоимость,комиссия,логистика
Султанов,OZON,Март,01.03 очки,9,9573.692782000002,33,19,0,40846,0,40846,2795.01,4137.97,17563.78
Султанов,OZON,,01.03 туники,9,11464.637217999996,10,5,0,27900,0,27900,3240,1772.6100000000001,11997.000000000002
Султанов,OZON,,02-08.03 очки,10,43006.268339478236,197,103,9,247424,-18379,229045,13689.959999999997,23987.37000000002,98489.34999999999
Султанов,OZON,,02-08.03 туники,10,11946.391660521738,64,35,11,173194,-55802,117392,14478,12952.310000000005,50478.56
Султанов,OZON,,09-15.03 очки,11,105076.4768458925,349,151,7,390195.00000000006,-18400,371795.00000000006,20433.059999999998,31144.360000000022,159871.85
Султанов,OZON,,09-15.03 туники,11,30545.503154107544,81,35,3,165276,-15138,150138,20184,13386.340000000002,64559.34
Султанов,OZON,,16-22.03 очки,12,140853.4445339996,335,174,3,466725.9999999997,-8150,458575.9999999997,24482.699999999997,38820.12000000006,197187.68
Султанов,OZON,,16-22.03 туники,12,19370.855466,46,27,6,109484,-29016,80468,12897,9001.490000000002,34601.240000000005
Султанов,OZON,,23-29.03 очки,13,96137.00648270434,301,135,4,367960.99999999977,-10800,357160.99999999977,18526.35,34591.78000000008,153579.23
Султанов,OZON,,23-29.03 туники,13,5243.023517295282,37,14,2,54640.99999999999,-11000,43640.99999999999,8019,6060.6500000000015,18765.63
Султанов,OZON,,30-31.03 очки,14,28106.511112333304,81,40,2,112702.99999999997,-5650,107052.99999999997,6174.8200000000015,9000.240000000005,46032.79
Султанов,OZON,,30-31.03 туники,14,4978.838887666667,6,5,0,16642,0,16642,3120,1905.5900000000001,7156.06
Султанов,OZON,Апрель,01-05.04 очки,14,76207.0443039999,174,102,8,290049.99999999994,-22903,267146.99999999994,12437.54,25394.290000000037,114873.21
Султанов,OZON,,01-05.04 туники,14,16275.455695999994,8,11,1,44399,-3200,41199,6540,2865.66,17715.57
Султанов,OZON,,06-12.04 очки,15,50743.58102699989,220,98,8,280070.99999999994,-20355,259715.99999999994,13552.54,23573.960000000043,119516.43000000001
Султанов,OZON,,06-12.04 туники,15,9438.238973000007,19,7,1,30273,-3252,27021,3927,2925.86,12347.54
Султанов,OZON,,13-19.04 очки,16,68869.30493838171,220,124,5,351539.99999999994,-13895,337644.99999999994,16554.81,31342.560000000012,161061.15999999997
Султанов,OZON,,13-19.04 туники,16,1623.5550616183118,37,7,3,24746,-11903,12843,2403,3014.5600000000004,5958.050000000001
Султанов,OZON,,20-26.04 очки,17,52531.155116279115,199,114,8,310503.00000000006,-22420,288083.00000000006,15286.810000000001,26042.90000000001,138166.98
Султанов,OZON,,20-26.04 туники,17,22143.304883720935,39,15,1,59671,-4697,54974,9138,6069.8,25338.309999999998
Султанов,OZON,,27-30.04 очки,18,28656.740000000005,124,55,2,157078,-5349,151729,7003.47,14813.2,72829.92
Султанов,OZON,,27-30.04 туники,18,5671.34,11,4,0,14955,0,14955,2538,2075,6879.3
Султанов,OZON,Май,01-03.05 очки,18,22658.029999999984,85,44,1,123135.99999999999,-2920,120215.99999999999,5779.589999999999,10720.36,57703.68
Султанов,OZON,,01-03.05 туники,18,7410.500000000002,11,5,0,18783,0,18783,3120,2298,8640.179999999998
Султанов,OZON,,04-10.05 очки,19,92422.18000000005,348,153,9,418007,-23254,394753,19270.53,31560.36,189232.67999999996
Султанов,OZON,,04-10.05 туники,19,14854.829999999998,19,9,0,33792,0,33792,5718,2737.4,15594.59
Султанов,OZON,,11-17.05 очки,20,100052.2130890055,394,184,6,495599.0000000002,-17360,478239.0000000002,24692.71,41222.38,229325.79999999996
Султанов,OZON,,11-17.05 туники,20,9109.546910994764,18,7,0,24828,0,24828,4434,3562.48,11420.880000000001
Султанов,WB,Январь 1,29-31.12,1,21116.169999999995,29,31,0,31859.55,0,31859.55,0,37862.85,3949.17
Султанов,WB,,01-04.01,1,8163.469999999999,37,14,0,14286.08,0,14286.08,0,17125.77,1763.04
Султанов,WB,Январь 2,05-11.01,2,25524.230000000003,86,43,-1,43245.32,-931,42314.32,-1199,50998.86,5562.900000000001
Султанов,WB,Январь 3,12-18.01,3,25982.83,62,49,-1,45785.47,-948,44837.47,-1174,55745.740000000005,6528.420000000001
Султанов,WB,Январь 4,19-25.01,4,22836.85,86,49,-2,44338.880000000005,-1888,42450.880000000005,-2412,56909.67,6764.520000000001
Султанов,WB,Январь 5,26.01-01.02,5,26541.809999999998,157,70,-1,53707.42,-813,52894.42,-1238,79114,9760.320000000002
Султанов,WB,Февраль 1,02-08.02,6,59865,286,118,-1,85982.95999999999,-777,85205.95999999999,-1238,131138.93,15974.009999999998
Султанов,WB,Февраль 2,09-15.02,7,105982.03999999998,388,212,-2,149383.2,-1458,147925.2,-2388,231887.74,27919.799999999996
Султанов,WB,Февраль 3,16-22.02,8,168699.24,640,332,-3,231517.83,-2178,229339.83,-3466,357199.46,44360.02999999997
Султанов,WB,Февраль 4,23.02-01.03,9,214108.03000000012,632,399,-9,296481.4000000001,-6522,289959.4000000001,-10316,454130.44,51789.50999999998
Султанов,WB,Март 1 очки,02-08.03,10,183388.28000000003,833,382,-8,300005.61999999994,-6272.41,293733.20999999996,-9947.95,456895.44,49184.91999999999
Султанов,WB,Март 1 шапки,02-08.03,10,-3920,2,0,0,0,0,0,0,0,0
Султанов,WB,Март 2 очки,09-15.03,11,370668.60999999987,1503,797,-13,612594.6500000003,-10314,602280.6500000003,-15997,927121.9899999998,103751.89999999997
Султанов,WB,Март 2 шапки,09-15.03,11,-12473.82,16,0,0,0,0,0,0,0,0
Султанов,WB,Март 3 очки,16-22.03,12,460743.4884878049,1912,947,-22,770335.7400000001,-17585.11,752750.6300000001,-26564.08,1134097.67,122764.06000000001
Султанов,WB,Март 3 шапки,16-22.03,12,-2556.9684878048774,4,3,0,4468,0,4468,0,6680,1187.34
Султанов,WB,Март 4 очки,23-29.03,13,545173.7817951632,1741,1033,-22,894331.41,-18419.39,875912.02,-28012.89,1315111.6900000013,133965.07
Султанов,WB,Март 4 шапки,23-29.03,13,-1204.2517951625093,0,0,0,0,0,0,0,0,0
Султанов,WB,Апрель 1 очки,30.03-05.04,14,458789.03203903907,1458,957,-29,818298.1899999997,-24782,793516.1899999997,-37862,1196354.1199999994,123010.15
Султанов,WB,Апрель 1 шапки,30.03-05.04,14,-211.39203903983116,1,0,0,0,0,0,0,0,0
Султанов,WB,Апрель 2 очки,06-12.04,15,308596.96611366497,1031,649,-15,565037.6100000001,-13075,551962.6100000001,-19867,822169.9500000001,84927.50999999998
Султанов,WB,Апрель 2 шапки,06-12.04,15,-163.32611366485582,0,0,0,0,0,0,0,0,0
Султанов,WB,Апрель 3 очки,13-19.04,16,274995.9450181491,1081,638,-9,548435.4600000002,-7418.639999999999,541016.8200000002,-11109.77,806745.08,85073.02999999998
Султанов,WB,Апрель 3 шапки,13-19.04,16,-14.815018148820327,0,0,0,0,0,0,0,0,0
Султанов,WB,Апрель 4 очки,20-26.04,17,208993.55020108516,765,508,-5,446671.2499999999,-4383,442288.2499999999,-6573,646710.9500000001,66479.62
Султанов,WB,Апрель 4 шапки,20-26.04,17,-14.64020108522183,0,0,0,0,0,0,0,0,0
Султанов,WB,Апрель 5 очки,27.04-03.05,18,189562.3838577101,792,468,-10,410333.48000000004,-8792.85,401540.63000000006,-12539.93,563767.33,60278.12
Султанов,WB,Апрель 5 шапки,27.04-03.05,18,-32.863857710240026,0,0,0,0,0,0,0,0,0
Султанов,WB,Май 1 очки,04-10.05,19,294239.5256829576,1366,712,-12,623893.13,-10793,613100.13,-14966,849516.03,90756.22999999998
Султанов,WB,Май 1 шапки,04-10.05,19,-15.835682957393482,0,0,0,0,0,0,0,0,0
Султанов,WB,Май 2 очки,11-17.05,20,333353.70890287333,1642,826,-18,710912.8399999999,-15235,695677.8399999999,-21460,951893.36,108712.29
Султанов,WB,Май 2 шапки,11-17.05,20,-216.93890287342674,1,0,0,0,0,0,0,0,0
